1 2.015e-007
11 4.244e-007
21 7.984e-007
31 1.0922e-006
41 1.5987e-006
51 2.0022e-006
61 2.7006e-006
71 2.9004e-006
81 3.7019e-006
91 4.4161e-006
101 4.8069e-006
111 5.7025e-006
121 5.7013e-006
131 6.4017e-006
141 7.5667e-006
151 9.1973e-006
161 8.6045e-006
171 1.03e-005
181 1.17577e-005
191 1.06998e-005
201 1.21561e-005
211 1.33536e-005
221 1.40076e-005
231 1.35061e-005
241 1.66645e-005
251 1.64521e-005
261 1.63552e-005
271 1.80547e-005
281 1.83041e-005
291 1.92039e-005
301 1.97068e-005
311 2.06559e-005
321 2.38167e-005
331 2.41277e-005
341 2.40044e-005
351 2.59729e-005
361 2.45579e-005
371 2.72263e-005
381 2.83215e-005
391 2.92014e-005
401 2.97879e-005
411 3.1113e-005
421 3.32918e-005
431 3.2713e-005
441 3.51784e-005
451 3.59039e-005
461 3.622e-005
471 4.01071e-005
481 4.00301e-005
491 4.04924e-005
501 4.05654e-005
511 4.16819e-005
521 4.43154e-005
531 4.32586e-005
541 4.69091e-005
551 4.57763e-005
561 4.91505e-005
571 5.01754e-005
581 4.97241e-005
591 5.13143e-005
601 5.27683e-005
611 5.33844e-005
621 5.28382e-005
631 5.38127e-005
641 5.69781e-005
651 5.7081e-005
661 5.73901e-005
671 5.88574e-005
681 6.07846e-005
691 6.2486e-005
701 6.30951e-005
711 6.41332e-005
721 6.75179e-005
731 6.28735e-005
741 6.70451e-005
751 6.75091e-005
761 6.58312e-005
771 7.28392e-005
781 7.27911e-005
791 7.17981e-005
801 7.7189e-005
811 7.7201e-005
821 7.31707e-005
831 7.57474e-005
841 7.51247e-005
851 8.22933e-005
861 7.61331e-005
871 8.14911e-005
881 8.32844e-005
891 8.16945e-005
901 8.13841e-005
911 8.63553e-005
921 8.87397e-005
931 8.6341e-005
941 8.51771e-005
951 8.99706e-005
961 9.30147e-005
971 9.29593e-005
981 9.00335e-005
991 9.81921e-005
