1 1.811e-007
11 2e-007
21 1.3994e-006
31 2.1004e-006
41 3.8008e-006
51 5.856e-006
61 7.6618e-006
71 9.805e-006
81 1.288e-005
91 1.57054e-005
101 1.88163e-005
111 2.27069e-005
121 2.50284e-005
131 2.89699e-005
141 3.33654e-005
151 3.80609e-005
161 4.29811e-005
171 4.73215e-005
181 5.20879e-005
191 5.72653e-005
201 6.39652e-005
211 7.14918e-005
221 7.59434e-005
231 8.37561e-005
241 8.59324e-005
251 9.57035e-005
261 0.000104112
271 0.000111524
281 0.00011809
291 0.0001294
301 0.000135777
311 0.000139391
321 0.000153668
331 0.000165395
341 0.000170853
351 0.000180862
361 0.000187421
371 0.000202059
381 0.000210643
391 0.000222752
401 0.000234865
411 0.000245946
421 0.000255531
431 0.000266442
441 0.000272123
451 0.00028832
461 0.000292445
471 0.000318995
481 0.000329538
491 0.000343771
501 0.000358369
511 0.00036921
521 0.000383258
531 0.000400563
541 0.000411417
551 0.000427607
561 0.000450807
571 0.000465447
581 0.000477965
591 0.000492788
601 0.000511869
611 0.00052248
621 0.000536895
631 0.000553765
641 0.000568664
651 0.000588914
661 0.000604979
671 0.00062586
681 0.000650136
691 0.000673029
701 0.000680964
711 0.000702441
721 0.000721616
731 0.000730228
741 0.000758693
751 0.000767457
761 0.000792922
771 0.000822005
781 0.000845358
791 0.000850832
801 0.000845089
811 0.000898556
821 0.000886947
831 0.000943255
841 0.000924147
851 0.000978088
861 0.000999009
871 0.00101343
881 0.0010385
891 0.00107081
901 0.00109578
911 0.00111463
921 0.00114591
931 0.0011559
941 0.001188
951 0.00120001
961 0.00126564
971 0.00124065
981 0.00128969
991 0.00132665
